Name,Email,"Import ID",Organization,Position,"Category Type","Top 50",Bio,"LinkedIn URL","Website URL",Status,"Import Date"
"Ulrich Prediger",,,JobRad,Gründer,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/ulrich-prediger/,https://www.jobrad.org/,publish,
"Helmut Ruhl",,,AMAG,CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/helmutruhl/,http://www.amag-group.ch/,publish,
"Xanthi Doubara",,,"Via Transportation Berlin",CEO,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/xanthi-doubara/,https://ridewithvia.com/,publish,
"Wolfram Uerlich",,,goFLUX,Founder,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/wolfram-uerlich-b2957a152/,https://goflux.de/,publish,
"Lukas Stranger",,,NXRT,CEO,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/lukasstranger/,http://www.nxrt.io/,publish,
"Manuel Herzog",,,TIER-Dott,"Managing Director & Country Manager Schweiz","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/manuelherzog/,http://www.ridedott.com/,publish,
"Marc Schindler",,,Ottobahn,CEO,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/marc-schindler-84378485/,https://ottobahn.global/,publish,
"Matthias Ballweg",,,"Circular Republic, TU München","Co-Gründer & CEO","Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/matthias-ballweg/,https://www.unternehmertum.de/,publish,
"Michael Klasa",,,Swisscom,"Head of Mobility @ Swisscom | Passion for (Corporate) Mobility | Smart Mobility Management @ HSG","Etablierte Unternehmen",no,,https://www.linkedin.com/in/klasa/,http://www.swisscom.ch,publish,
"Nic Knapp",,,"TUM Venture Labs","Managing Director","Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/nicknapp/,https://www.tum-venture-labs.de/,publish,
"Olga Nevska",,,Telekom,CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/olganevska-transformation-digitalization-stratetgy-leadership-innovation-ceo-managingdirector/,https://www.telekom-mobilitysolutions.de/,publish,
"Oliver Blume",,,Volkswagen,CEO,"Etablierte Unternehmen",no,,,https://www.volkswagen-group.com/en/executive-bodies-15790#,publish,
"Oliver May-Beckmann",,,MCUBE,"Managing Director MCube @ TUM - Munich Cluster for the Future of Mobility | Nachhaltige Mobilitätsinnovationen","Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/olivermaybeckmann/,https://www.mcube-cluster.de/en/,publish,
"Oliver Zipse",,,BMW,CEO,"Etablierte Unternehmen",no,,http://Kein%20LinkedIn,https://www.bmwgroup.com/de/unternehmen/unternehmensfuehrung.html,publish,
"Prof. Dr. Uwe Schneidewind",,,"Stadt Wuppertal",Oberbürgermeister,"Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/uwe-schneidewind-86b86520/,https://www.wuppertal.de/microsite/Oberbuergermeister/zuperson/uwe-schneidewind.php,publish,
"Rönke von der Heide",,,"Zukunft Nahverkehr","CÖÖ Chief Öperation Öfficer","Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/r%C3%B6nke-von-der-heide-a8066133/,https://www.zukunftnahverkehr.de/,publish,
"Roy Uhlmann",,,"Motor Ai",CEO,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/royuhlmann/,https://www.motor-ai.com/,publish,
"Sarah Fleischer",,,ToZero,"Co-Founder and CEO","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/sarahfleischer/,https://www.tozero.solutions/,publish,
"Sascha Meyer",,,MOIA ,CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/sasmeyer/,https://www.moia.io/en/,publish,
